"year","country1","country2","border","comlang","Currency_union","island","landl","log_dist","log_RGDP","log_RGDP_percap","regional_trade_agreement","total_exports","primary_exports","manfactured_exports","total_imports","primary_imports","manfactured_imports","exp_index","imp_index","trans_terrorism_cj"
"1995","United States","United Kingdom","0","1","0","0","0","8.373431","57.81432","20.5351","0","28826384.0","3010139.2","23710612.0","27663756.0","4482123.0","21332514.0","74.7832","61.2127","2.0"
"1996","United States","United Kingdom","0","1","0","0","0","8.373431","57.8843","20.59073","0","30914902.0","2746628.2","24490362.0","29669192.0","4645597.0","22946282.0","79.941","65.2763","1.0"
"1997","United States","United Kingdom","0","1","0","0","0","8.373431","57.99747","20.68935","0","36433770.0","3097259.8","30730748.0","33475502.0","4150210.8","27115076.0","88.1399","71.3905","0.0"
"1998","United States","United Kingdom","0","1","0","0","0","8.373431","58.08437","20.76138","0","39068590.0","2981612.2","32410556.0","35678548.0","3691093.5","29104788.0","87.2391","74.9903","1.0"
"1999","United States","United Kingdom","0","1","0","0","0","8.373431","58.17025","20.83187","0","38337460.0","2451169.8","33007190.0","40138212.0","4819326.0","31617814.0","88.9859","84.1293","0.0"
"2000","United States","United Kingdom","0","1","0","0","0","8.373431","58.25589","20.90244","0","41578520.0","2544130.5","35938430.0","44530456.0","7119559.0","33418454.0","100.0","100.0","0.0"
"2001","United States","United Kingdom","0","1","0","0","0","8.373431","58.29414","20.92648","0","40796268.0","2728624.5","35472130.0","42347144.0","6338913.0","31858306.0","93.2451","93.6377","0.0"
"2002","United States","United Kingdom","0","1","0","0","0","8.373431","58.33649","20.95551","0","33252404.0","2506066.0","28533002.0","41811572.0","7176944.0","30768962.0","88.6414","95.3093","2.0"
"2003","United States","United Kingdom","0","1","0","0","0","8.373431","58.39619","21.00277","0","33893824.0","2464523.2","28712626.0","43741556.0","8129024.0","32439380.0","92.6914","103.474","0.0"
"2004","United States","United Kingdom","0","1","0","0","0","8.373431","58.46159","21.05378","0","35958444.0","3047136.5","30806252.0","47662416.0","9493019.0","34959784.0","104.215","121.153","0.0"
"2005","United States","United Kingdom","0","1","0","0","0","8.373431","58.51344","21.09046","0","38621400.0","3570955.8","32368764.0","52368744.0","11948557.0","37025696.0","115.24","137.593","0.0"
"2006","United States","United Kingdom","0","1","0","0","0","8.373431","58.56649","21.12803","0","45391800.0","4775558.5","35722656.0","54612972.0","10879664.0","40326936.0","131.212","152.313","3.0"
"2007","United States","United Kingdom","0","1","0","0","0","8.373431","58.61899","21.16398","0","50294384.0","4803416.5","38956080.0","58070296.0","12153727.0","42028484.0","146.844","160.439","1.0"
"2008","United States","United Kingdom","0","1","0","0","0","8.373431","58.59764","21.127","0","53771990.0","5856035.0","40216240.0","59740052.0","12960006.0","42999652.0","164.652","172.277","1.0"
"2009","United States","United Kingdom","0","1","0","0","0","8.373431","58.50033","21.01535","0","45707870.0","4006161.2","27320712.0","48249948.0","9189873.0","35490930.0","135.058","127.475","1.0"
"2010","United States","United Kingdom","0","1","0","0","0","8.373431","58.57324","21.07216","0","48414450.0","4670768.0","29010626.0","50622716.0","11607472.0","35789240.0","163.508","156.371","1.0"
"2011","United States","United Kingdom","0","1","0","0","0","8.373431","58.59077","21.07255","0","55939450.0","6013858.0","31766678.0","52057544.0","11407020.0","37373188.0","189.315","179.933","0.0"
"2012","United States","United Kingdom","0","1","0","0","0","8.373431","58.62095","21.08853","0","54810180.0","6715209.0","31909860.0","55933420.0","11711776.0","39884388.0","197.682","185.463","2.0"
"1995","United States","Austria","0","0","0","0","1","8.544995","56.00939","20.70847","0","2016735.1","62669.438","1852335.1","2034106.5","75694.79","1879051.6","74.7832","61.2127","6.0"
"1996","United States","Austria","0","0","0","0","1","8.544995","56.06891","20.75469","0","2008247.0","69112.78","1836508.1","2268941.2","83555.695","2110027.0","79.941","65.2763","3.0"
"1997","United States","Austria","0","0","0","0","1","8.544995","56.14141","20.81408","0","2073104.1","70707.055","1903412.2","2443261.5","138289.28","2223189.5","88.1399","71.3905","1.0"
"1998","United States","Austria","0","0","0","0","1","8.544995","56.22309","20.88298","0","2506051.5","66804.52","2325209.2","2641472.8","150110.53","2396901.2","87.2391","74.9903","0.0"
"1999","United States","Austria","0","0","0","0","1","8.544995","56.30473","20.95121","0","2587627.0","62094.945","2396795.2","2976416.2","168960.23","2668687.0","88.9859","84.1293","0.0"
"2000","United States","Austria","0","0","0","0","1","8.544995","56.3784","21.01134","0","2553528.2","63890.5","2368061.5","3347877.5","246887.72","2963685.5","100.0","100.0","0.0"
"2001","United States","Austria","0","0","0","0","1","8.544995","56.39361","21.01404","0","2625522.2","64410.477","2434208.8","4111734.2","257713.67","3747924.0","93.2451","93.6377","0.0"
"2002","United States","Austria","0","0","0","0","1","8.544995","56.42392","21.0328","0","2423598.2","52633.156","2275676.2","3925695.8","279282.06","3534084.2","88.6414","95.3093","0.0"
"2003","United States","Austria","0","0","0","0","1","8.544995","56.45949","21.05789","0","1792271.9","56602.055","1657238.1","4594758.5","395223.22","4066683.0","92.6914","103.474","0.0"
"2004","United States","Austria","0","0","0","0","1","8.544995","56.51652","21.10412","0","1957727.0","80082.82","1789890.8","5937948.0","679725.9","5117344.0","104.215","121.153","0.0"
"2005","United States","Austria","0","0","0","0","1","8.544995","56.57512","21.1523","0","2596178.0","120062.234","2371679.8","6275358.0","893927.7","5187269.5","115.24","137.593","0.0"
"2006","United States","Austria","0","0","0","0","1","8.544995","56.63537","21.202","0","2984902.0","111512.07","2745949.5","8486456.0","1150854.2","7130552.5","131.212","152.313","0.0"
"2007","United States","Austria","0","0","0","0","1","8.544995","56.69025","21.24608","0","3161011.8","157873.16","2868911.0","10875271.0","965084.56","9638137.0","146.844","160.439","0.0"
"2008","United States","Austria","0","0","0","0","1","8.544995","56.69648","21.2424","0","2635964.8","177957.44","2338793.2","8436063.0","710017.5","7467347.0","164.652","172.277","4.0"
"2009","United States","Austria","0","0","0","0","1","8.544995","56.60535","21.14207","0","2466033.2","112315.25","2055286.5","6162950.5","605779.7","5326366.0","135.058","127.475","1.0"
"2010","United States","Austria","0","0","0","0","1","8.544995","56.66503","21.19082","0","2334940.0","183054.95","1843471.1","6913980.0","693741.94","6099141.0","163.508","156.371","0.0"
"2011","United States","Austria","0","0","0","0","1","8.544995","56.71347","21.22594","0","2774876.5","235421.25","2210591.2","9524603.0","811082.75","8518459.0","189.315","179.933","0.0"
"2012","United States","Austria","0","0","0","0","1","8.544995","56.74954","21.25187","0","3360437.8","397281.7","2585378.8","9563684.0","907692.3","8495167.0","197.682","185.463","0.0"
"1995","United States","Denmark","0","1","0","0","0","8.447253","55.5645","20.69403","0","1517497.4","271074.62","1183696.1","2032749.2","417667.3","1540735.1","74.7832","61.2127","2.0"
"1996","United States","Denmark","0","1","0","0","0","8.447253","55.63185","20.74413","0","1729688.4","285614.06","1371970.5","2222846.8","427396.0","1607073.2","79.941","65.2763","0.0"
"1997","United States","Denmark","0","1","0","0","0","8.447253","55.71776","20.81394","0","1758469.2","278377.9","1405565.5","2224985.5","409714.34","1710970.4","88.1399","71.3905","0.0"
"1998","United States","Denmark","0","1","0","0","0","8.447253","55.78861","20.86949","0","1874279.6","246318.88","1555455.5","2481713.5","436648.9","1924586.0","87.2391","74.9903","0.0"
"1999","United States","Denmark","0","1","0","0","0","8.447253","55.86134","20.92747","0","1718860.8","189778.33","1454373.2","2932773.0","444605.06","2315606.8","88.9859","84.1293","0.0"
"2000","United States","Denmark","0","1","0","0","0","8.447253","55.94462","20.99634","0","1512759.2","185417.69","1257310.8","3092850.8","600185.94","2339240.5","100.0","100.0","0.0"
"2001","United States","Denmark","0","1","0","0","0","8.447253","55.9566","20.99462","0","1610801.2","175956.4","1323089.0","3524167.0","517198.47","2830246.0","93.2451","93.6377","0.0"
"2002","United States","Denmark","0","1","0","0","0","8.447253","55.97869","21.00369","0","1496173.0","167949.83","1242683.2","3345588.0","514553.06","2593967.2","88.6414","95.3093","0.0"
"2003","United States","Denmark","0","1","0","0","0","8.447253","56.00599","21.01865","0","1547597.9","204281.34","1254863.0","3853648.5","688935.1","3005423.2","92.6914","103.474","0.0"
"2004","United States","Denmark","0","1","0","0","0","8.447253","56.06628","21.06606","0","2146912.5","206247.89","1824638.6","4019515.0","632435.75","3246254.2","104.215","121.153","0.0"
"2005","United States","Denmark","0","1","0","0","0","8.447253","56.12361","21.11069","0","1913307.2","179461.73","1605239.1","5303535.5","586641.3","4493425.0","115.24","137.593","0.0"
"2006","United States","Denmark","0","1","0","0","0","8.447253","56.18761","21.16177","0","2268316.0","332850.0","1821706.6","5707427.0","652625.4","4862291.5","131.212","152.313","0.0"
"2007","United States","Denmark","0","1","0","0","0","8.447253","56.22015","21.18116","0","2927239.2","277847.06","2522378.2","6233085.0","562883.9","5447844.5","146.844","160.439","0.0"
"2008","United States","Denmark","0","1","0","0","0","8.447253","56.20096","21.14971","0","2712143.8","331131.62","2245300.0","6593740.5","583057.75","5702685.5","164.652","172.277","1.0"
"2009","United States","Denmark","0","1","0","0","0","8.447253","56.0841","21.02137","0","2058489.8","213869.55","1588859.5","5699234.0","455784.94","5028967.0","135.058","127.475","0.0"
"2010","United States","Denmark","0","1","0","0","0","8.447253","56.13151","21.05559","0","2125333.0","297225.97","1572243.6","6139651.0","459949.47","5585318.0","163.508","156.371","0.0"
"2011","United States","Denmark","0","1","0","0","0","8.447253","56.17491","21.08499","0","2244715.2","315655.34","1703568.0","6908805.0","534451.0","6229926.0","189.315","179.933","0.0"
"2012","United States","Denmark","0","1","0","0","0","8.447253","56.19873","21.09772","0","2217602.5","269195.7","1646895.9","6893934.5","479357.84","6270571.0","197.682","185.463","0.0"
"1995","United States","France","0","0","0","0","0","8.469217","57.91099","20.60589","0","14802935.0","1417820.5","12441754.0","17777726.0","1880841.8","15096582.0","74.7832","61.2127","3.0"
"1996","United States","France","0","0","0","0","0","8.469217","57.95893","20.63771","0","14836398.0","1363632.9","12577901.0","19202768.0","2068344.2","16215361.0","79.941","65.2763","3.0"
"1997","United States","France","0","0","0","0","0","8.469217","58.027","20.68924","0","16581652.0","1403622.6","14456903.0","21345394.0","2400796.5","17912120.0","88.1399","71.3905","1.0"
"1998","United States","France","0","0","0","0","0","8.469217","58.10983","20.75572","0","18071188.0","1291718.2","16148565.0","24736796.0","2578157.0","21056232.0","87.2391","74.9903","0.0"
